18:00:39.120 [XNIO-1 task-1]  -1Uc2lwuTU22Urz_BEBF1g DEBUG com.networknt.schema.TypeValidator debug - validate( "b625893d", "b625893d", userId)
18:00:41.606 [XNIO-1 task-1]  NKgFEewrT4aUwZrKNT0w9w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.621 [XNIO-1 task-1]  KqOABDjkQ3Cz6qLe7YwBaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.621 [XNIO-1 task-1]  KqOABDjkQ3Cz6qLe7YwBaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.621 [XNIO-1 task-1]  KqOABDjkQ3Cz6qLe7YwBaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.622 [XNIO-1 task-1]  KqOABDjkQ3Cz6qLe7YwBaw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
18:00:41.637 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/331614f7, base path is set to: null
18:00:41.638 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.638 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:41.638 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
18:00:41.638 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/331614f7, base path is set to: null
18:00:41.639 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG com.networknt.schema.TypeValidator debug - validate( "331614f7", "331614f7", userId)
18:00:41.639 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"23ff6117-809d-44ce-896d-63cf983beffb","newPassword":"518d1a7b-4fea-4056-bda4-281e890db245","newPasswordConfirm":"518d1a7b-4fea-4056-bda4-281e890db245"}, {"password":"23ff6117-809d-44ce-896d-63cf983beffb","newPassword":"518d1a7b-4fea-4056-bda4-281e890db245","newPasswordConfirm":"518d1a7b-4fea-4056-bda4-281e890db245"}, requestBody)
18:00:41.640 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG com.networknt.schema.TypeValidator debug - validate( "518d1a7b-4fea-4056-bda4-281e890db245", {"password":"23ff6117-809d-44ce-896d-63cf983beffb","newPassword":"518d1a7b-4fea-4056-bda4-281e890db245","newPasswordConfirm":"518d1a7b-4fea-4056-bda4-281e890db245"}, requestBody.newPasswordConfirm)
18:00:41.640 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG com.networknt.schema.TypeValidator debug - validate( "23ff6117-809d-44ce-896d-63cf983beffb", {"password":"23ff6117-809d-44ce-896d-63cf983beffb","newPassword":"518d1a7b-4fea-4056-bda4-281e890db245","newPasswordConfirm":"518d1a7b-4fea-4056-bda4-281e890db245"}, requestBody.password)
18:00:41.640 [XNIO-1 task-1]  _SXbDzcERrOJtr3GAbGfZA DEBUG com.networknt.schema.TypeValidator debug - validate( "518d1a7b-4fea-4056-bda4-281e890db245", {"password":"23ff6117-809d-44ce-896d-63cf983beffb","newPassword":"518d1a7b-4fea-4056-bda4-281e890db245","newPasswordConfirm":"518d1a7b-4fea-4056-bda4-281e890db245"}, requestBody.newPassword)
18:00:41.678 [XNIO-1 task-1]  MPPfM3s7Qzell0jSnVxEGQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.679 [XNIO-1 task-1]  MPPfM3s7Qzell0jSnVxEGQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.679 [XNIO-1 task-1]  MPPfM3s7Qzell0jSnVxEGQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.699 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:a3665036
18:00:41.708 [XNIO-1 task-1]  oqaWQMJZQfKPlk2XUSjSTQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/331614f7, base path is set to: null
18:00:41.708 [XNIO-1 task-1]  oqaWQMJZQfKPlk2XUSjSTQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.708 [XNIO-1 task-1]  oqaWQMJZQfKPlk2XUSjSTQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:41.708 [XNIO-1 task-1]  oqaWQMJZQfKPlk2XUSjSTQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/331614f7, base path is set to: null
18:00:41.709 [XNIO-1 task-1]  oqaWQMJZQfKPlk2XUSjSTQ DEBUG com.networknt.schema.TypeValidator debug - validate( "331614f7", "331614f7", userId)
18:00:41.713 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/3ab83f3d
18:00:41.713 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:41.713 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:41.713 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
18:00:41.714 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/3ab83f3d
18:00:41.715 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"ffccfa64-7fc1-4fe1-bd0c-fc03591c376e","newPassword":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPasswordConfirm":"8a564a00-4be7-4f3f-a550-0177bd5935e1"}, {"password":"ffccfa64-7fc1-4fe1-bd0c-fc03591c376e","newPassword":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPasswordConfirm":"8a564a00-4be7-4f3f-a550-0177bd5935e1"}, requestBody)
18:00:41.715 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"ffccfa64-7fc1-4fe1-bd0c-fc03591c376e","newPassword":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPasswordConfirm":"8a564a00-4be7-4f3f-a550-0177bd5935e1"}, {"password":"ffccfa64-7fc1-4fe1-bd0c-fc03591c376e","newPassword":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPasswordConfirm":"8a564a00-4be7-4f3f-a550-0177bd5935e1"}, requestBody)
18:00:41.715 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG com.networknt.schema.FormatValidator debug - validate( "8a564a00-4be7-4f3f-a550-0177bd5935e1", {"password":"ffccfa64-7fc1-4fe1-bd0c-fc03591c376e","newPassword":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPasswordConfirm":"8a564a00-4be7-4f3f-a550-0177bd5935e1"}, requestBody.newPasswordConfirm)
18:00:41.715 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG com.networknt.schema.FormatValidator debug - validate( "ffccfa64-7fc1-4fe1-bd0c-fc03591c376e", {"password":"ffccfa64-7fc1-4fe1-bd0c-fc03591c376e","newPassword":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPasswordConfirm":"8a564a00-4be7-4f3f-a550-0177bd5935e1"}, requestBody.password)
18:00:41.715 [XNIO-1 task-1]  Ramj466zReuel4TAy1ua1w DEBUG com.networknt.schema.FormatValidator debug - validate( "8a564a00-4be7-4f3f-a550-0177bd5935e1", {"password":"ffccfa64-7fc1-4fe1-bd0c-fc03591c376e","newPassword":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPasswordConfirm":"8a564a00-4be7-4f3f-a550-0177bd5935e1"}, requestBody.newPassword)
18:00:41.777 [XNIO-1 task-1]  NaX4K0ubRo2Lue60uqR7VQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/331614f7
18:00:41.777 [XNIO-1 task-1]  NaX4K0ubRo2Lue60uqR7VQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:41.777 [XNIO-1 task-1]  NaX4K0ubRo2Lue60uqR7VQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:41.777 [XNIO-1 task-1]  NaX4K0ubRo2Lue60uqR7VQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/331614f7
18:00:41.789 [XNIO-1 task-1]  h1MKZEm6QlCHVwY3H17hiw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.790 [XNIO-1 task-1]  h1MKZEm6QlCHVwY3H17hiw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.790 [XNIO-1 task-1]  h1MKZEm6QlCHVwY3H17hiw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.839 [XNIO-1 task-1]  M-YrvfgKTJmNWK24i0Diww DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.839 [XNIO-1 task-1]  M-YrvfgKTJmNWK24i0Diww DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.839 [XNIO-1 task-1]  M-YrvfgKTJmNWK24i0Diww DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.850 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:20146430
18:00:41.852 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:20146430
18:00:41.863 [XNIO-1 task-1]  AQIFKX_wSHu_4lDC1z6luQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/3ab83f3d
18:00:41.863 [XNIO-1 task-1]  AQIFKX_wSHu_4lDC1z6luQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:41.863 [XNIO-1 task-1]  AQIFKX_wSHu_4lDC1z6luQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:41.863 [XNIO-1 task-1]  AQIFKX_wSHu_4lDC1z6luQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/3ab83f3d
18:00:41.870 [XNIO-1 task-1]  pH0t5ri2QVyr2_710P9TQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.870 [XNIO-1 task-1]  pH0t5ri2QVyr2_710P9TQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.871 [XNIO-1 task-1]  pH0t5ri2QVyr2_710P9TQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.895 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:4ca88a6a-f37c-44a6-a8b1-e42905139029
18:00:41.902 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/331614f7, base path is set to: null
18:00:41.902 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.902 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:41.902 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
18:00:41.902 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/331614f7, base path is set to: null
18:00:41.903 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG com.networknt.schema.TypeValidator debug - validate( "331614f7", "331614f7", userId)
18:00:41.903 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"518d1a7b-4fea-4056-bda4-281e890db245","newPassword":"aa989466-7036-4f03-9a77-e3d9233632f9","newPasswordConfirm":"aa989466-7036-4f03-9a77-e3d9233632f9"}, {"password":"518d1a7b-4fea-4056-bda4-281e890db245","newPassword":"aa989466-7036-4f03-9a77-e3d9233632f9","newPasswordConfirm":"aa989466-7036-4f03-9a77-e3d9233632f9"}, requestBody)
18:00:41.903 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG com.networknt.schema.TypeValidator debug - validate( "aa989466-7036-4f03-9a77-e3d9233632f9", {"password":"518d1a7b-4fea-4056-bda4-281e890db245","newPassword":"aa989466-7036-4f03-9a77-e3d9233632f9","newPasswordConfirm":"aa989466-7036-4f03-9a77-e3d9233632f9"}, requestBody.newPasswordConfirm)
18:00:41.903 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG com.networknt.schema.TypeValidator debug - validate( "518d1a7b-4fea-4056-bda4-281e890db245", {"password":"518d1a7b-4fea-4056-bda4-281e890db245","newPassword":"aa989466-7036-4f03-9a77-e3d9233632f9","newPasswordConfirm":"aa989466-7036-4f03-9a77-e3d9233632f9"}, requestBody.password)
18:00:41.903 [XNIO-1 task-1]  pKzQ-oV1RhKqYgRzhgCmZA DEBUG com.networknt.schema.TypeValidator debug - validate( "aa989466-7036-4f03-9a77-e3d9233632f9", {"password":"518d1a7b-4fea-4056-bda4-281e890db245","newPassword":"aa989466-7036-4f03-9a77-e3d9233632f9","newPasswordConfirm":"aa989466-7036-4f03-9a77-e3d9233632f9"}, requestBody.newPassword)
18:00:41.924 [XNIO-1 task-1]  FASrssCVSRye351nlADkBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/20146430, base path is set to: null
18:00:41.925 [XNIO-1 task-1]  FASrssCVSRye351nlADkBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.925 [XNIO-1 task-1]  FASrssCVSRye351nlADkBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:41.925 [XNIO-1 task-1]  FASrssCVSRye351nlADkBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/20146430, base path is set to: null
18:00:41.925 [XNIO-1 task-1]  FASrssCVSRye351nlADkBw DEBUG com.networknt.schema.TypeValidator debug - validate( "20146430", "20146430", userId)
18:00:41.936 [XNIO-1 task-1]  sDpx_tWEQ2CMwwSgDflKCw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.936 [XNIO-1 task-1]  sDpx_tWEQ2CMwwSgDflKCw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.936 [XNIO-1 task-1]  sDpx_tWEQ2CMwwSgDflKCw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.946 [XNIO-1 task-1]  JrcCOibtREK4jMQJoeT0yw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:41.946 [XNIO-1 task-1]  JrcCOibtREK4jMQJoeT0yw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:41.946 [XNIO-1 task-1]  JrcCOibtREK4jMQJoeT0yw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.005 [XNIO-1 task-1]  FgosVXgeTA-d7EWxNCVTjA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.005 [XNIO-1 task-1]  FgosVXgeTA-d7EWxNCVTjA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:42.006 [XNIO-1 task-1]  FgosVXgeTA-d7EWxNCVTjA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.019 [XNIO-1 task-1]  Bhw6kkzaTDmQtQ9Y14yy2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b9b62e69, base path is set to: null
18:00:42.020 [XNIO-1 task-1]  Bhw6kkzaTDmQtQ9Y14yy2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:42.020 [XNIO-1 task-1]  Bhw6kkzaTDmQtQ9Y14yy2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:42.020 [XNIO-1 task-1]  Bhw6kkzaTDmQtQ9Y14yy2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b9b62e69, base path is set to: null
18:00:42.022 [XNIO-1 task-1]  Bhw6kkzaTDmQtQ9Y14yy2g DEBUG com.networknt.schema.TypeValidator debug - validate( "b9b62e69", "b9b62e69", userId)
18:00:42.030 [XNIO-1 task-1]  P6svbYS9S7WZT7XxEoeQjQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/ad37901c
18:00:42.030 [XNIO-1 task-1]  P6svbYS9S7WZT7XxEoeQjQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:42.030 [XNIO-1 task-1]  P6svbYS9S7WZT7XxEoeQjQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:42.030 [XNIO-1 task-1]  P6svbYS9S7WZT7XxEoeQjQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/ad37901c
18:00:42.043 [XNIO-1 task-1]  3aeJ_5JyTTiTaMCb2IlDfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.044 [XNIO-1 task-1]  3aeJ_5JyTTiTaMCb2IlDfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:42.044 [XNIO-1 task-1]  3aeJ_5JyTTiTaMCb2IlDfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.067 [XNIO-1 task-1]  XOk_Gb4aSZ2kWOL69IkK5g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.067 [XNIO-1 task-1]  XOk_Gb4aSZ2kWOL69IkK5g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:42.067 [XNIO-1 task-1]  XOk_Gb4aSZ2kWOL69IkK5g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.068 [XNIO-1 task-1]  XOk_Gb4aSZ2kWOL69IkK5g DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
18:00:42.081 [XNIO-1 task-1]  pG4AgrdzS6S6Sfk6HRZeJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.081 [XNIO-1 task-1]  pG4AgrdzS6S6Sfk6HRZeJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:42.081 [XNIO-1 task-1]  pG4AgrdzS6S6Sfk6HRZeJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.096 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/3ab83f3d, base path is set to: null
18:00:42.096 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:42.096 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:42.096 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
18:00:42.097 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/3ab83f3d, base path is set to: null
18:00:42.097 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG com.networknt.schema.TypeValidator debug - validate( "3ab83f3d", "3ab83f3d", userId)
18:00:42.098 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPassword":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b","newPasswordConfirm":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b"}, {"password":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPassword":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b","newPasswordConfirm":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b"}, requestBody)
18:00:42.098 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG com.networknt.schema.TypeValidator debug - validate( "b1dfb777-fa27-4da2-bbac-ec4861e9cf3b", {"password":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPassword":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b","newPasswordConfirm":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b"}, requestBody.newPasswordConfirm)
18:00:42.098 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG com.networknt.schema.TypeValidator debug - validate( "8a564a00-4be7-4f3f-a550-0177bd5935e1", {"password":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPassword":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b","newPasswordConfirm":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b"}, requestBody.password)
18:00:42.098 [XNIO-1 task-1]  YU5dgXSVTn23khNB3nqCxg DEBUG com.networknt.schema.TypeValidator debug - validate( "b1dfb777-fa27-4da2-bbac-ec4861e9cf3b", {"password":"8a564a00-4be7-4f3f-a550-0177bd5935e1","newPassword":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b","newPasswordConfirm":"b1dfb777-fa27-4da2-bbac-ec4861e9cf3b"}, requestBody.newPassword)
18:00:42.126 [XNIO-1 task-1]  58Qd9JOoRlu_GzFpMw6MnA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/3ab83f3d, base path is set to: null
18:00:42.126 [XNIO-1 task-1]  58Qd9JOoRlu_GzFpMw6MnA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:42.126 [XNIO-1 task-1]  58Qd9JOoRlu_GzFpMw6MnA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:42.126 [XNIO-1 task-1]  58Qd9JOoRlu_GzFpMw6MnA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/3ab83f3d, base path is set to: null
18:00:42.126 [XNIO-1 task-1]  58Qd9JOoRlu_GzFpMw6MnA DEBUG com.networknt.schema.TypeValidator debug - validate( "3ab83f3d", "3ab83f3d", userId)
18:00:42.136 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/331614f7
18:00:42.136 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:42.136 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:42.136 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
18:00:42.137 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/331614f7
18:00:42.137 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"aa989466-7036-4f03-9a77-e3d9233632f9","newPassword":"320c5c59-2764-401a-bee2-7bf47ea3f8d3","newPasswordConfirm":"320c5c59-2764-401a-bee2-7bf47ea3f8d3"}, {"password":"aa989466-7036-4f03-9a77-e3d9233632f9","newPassword":"320c5c59-2764-401a-bee2-7bf47ea3f8d3","newPasswordConfirm":"320c5c59-2764-401a-bee2-7bf47ea3f8d3"}, requestBody)
18:00:42.138 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"aa989466-7036-4f03-9a77-e3d9233632f9","newPassword":"320c5c59-2764-401a-bee2-7bf47ea3f8d3","newPasswordConfirm":"320c5c59-2764-401a-bee2-7bf47ea3f8d3"}, {"password":"aa989466-7036-4f03-9a77-e3d9233632f9","newPassword":"320c5c59-2764-401a-bee2-7bf47ea3f8d3","newPasswordConfirm":"320c5c59-2764-401a-bee2-7bf47ea3f8d3"}, requestBody)
18:00:42.138 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG com.networknt.schema.FormatValidator debug - validate( "320c5c59-2764-401a-bee2-7bf47ea3f8d3", {"password":"aa989466-7036-4f03-9a77-e3d9233632f9","newPassword":"320c5c59-2764-401a-bee2-7bf47ea3f8d3","newPasswordConfirm":"320c5c59-2764-401a-bee2-7bf47ea3f8d3"}, requestBody.newPasswordConfirm)
18:00:42.138 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG com.networknt.schema.FormatValidator debug - validate( "aa989466-7036-4f03-9a77-e3d9233632f9", {"password":"aa989466-7036-4f03-9a77-e3d9233632f9","newPassword":"320c5c59-2764-401a-bee2-7bf47ea3f8d3","newPasswordConfirm":"320c5c59-2764-401a-bee2-7bf47ea3f8d3"}, requestBody.password)
18:00:42.138 [XNIO-1 task-1]  fclMUlq3QTiF1__5QTPrNg DEBUG com.networknt.schema.FormatValidator debug - validate( "320c5c59-2764-401a-bee2-7bf47ea3f8d3", {"password":"aa989466-7036-4f03-9a77-e3d9233632f9","newPassword":"320c5c59-2764-401a-bee2-7bf47ea3f8d3","newPasswordConfirm":"320c5c59-2764-401a-bee2-7bf47ea3f8d3"}, requestBody.newPassword)
18:00:42.196 [XNIO-1 task-1]  cxMVhMiwSi2Sf5eIfpO3Kw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:42.196 [XNIO-1 task-1]  cxMVhMiwSi2Sf5eIfpO3Kw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
