17:00:39.530 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody)
17:00:42.350 [XNIO-1 task-2]  fThvr_LXTq6BkMJnk6jxRg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.351 [XNIO-1 task-2]  fThvr_LXTq6BkMJnk6jxRg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.351 [XNIO-1 task-2]  fThvr_LXTq6BkMJnk6jxRg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.376 [XNIO-1 task-2]  aGsY4rhJQ82fmWS7vjBHdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/5b3246dc, base path is set to: null
17:00:42.376 [XNIO-1 task-2]  aGsY4rhJQ82fmWS7vjBHdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.376 [XNIO-1 task-2]  aGsY4rhJQ82fmWS7vjBHdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:42.376 [XNIO-1 task-2]  aGsY4rhJQ82fmWS7vjBHdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/5b3246dc, base path is set to: null
17:00:42.377 [XNIO-1 task-2]  aGsY4rhJQ82fmWS7vjBHdg DEBUG com.networknt.schema.TypeValidator debug - validate( "5b3246dc", "5b3246dc", userId)
17:00:42.389 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/cb3f3a76
17:00:42.389 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.389 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:42.389 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:42.389 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/cb3f3a76
17:00:42.390 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"a2a5822e-bb5a-4d84-bd36-45b86ccd31ad","newPassword":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPasswordConfirm":"bed6dc77-ef77-4191-91b6-43ea2dd7d153"}, {"password":"a2a5822e-bb5a-4d84-bd36-45b86ccd31ad","newPassword":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPasswordConfirm":"bed6dc77-ef77-4191-91b6-43ea2dd7d153"}, requestBody)
17:00:42.390 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"a2a5822e-bb5a-4d84-bd36-45b86ccd31ad","newPassword":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPasswordConfirm":"bed6dc77-ef77-4191-91b6-43ea2dd7d153"}, {"password":"a2a5822e-bb5a-4d84-bd36-45b86ccd31ad","newPassword":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPasswordConfirm":"bed6dc77-ef77-4191-91b6-43ea2dd7d153"}, requestBody)
17:00:42.390 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG com.networknt.schema.FormatValidator debug - validate( "bed6dc77-ef77-4191-91b6-43ea2dd7d153", {"password":"a2a5822e-bb5a-4d84-bd36-45b86ccd31ad","newPassword":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPasswordConfirm":"bed6dc77-ef77-4191-91b6-43ea2dd7d153"}, requestBody.newPasswordConfirm)
17:00:42.390 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG com.networknt.schema.FormatValidator debug - validate( "a2a5822e-bb5a-4d84-bd36-45b86ccd31ad", {"password":"a2a5822e-bb5a-4d84-bd36-45b86ccd31ad","newPassword":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPasswordConfirm":"bed6dc77-ef77-4191-91b6-43ea2dd7d153"}, requestBody.password)
17:00:42.391 [XNIO-1 task-2]  9sPVkOPaRZmaOSHgLvUf4A DEBUG com.networknt.schema.FormatValidator debug - validate( "bed6dc77-ef77-4191-91b6-43ea2dd7d153", {"password":"a2a5822e-bb5a-4d84-bd36-45b86ccd31ad","newPassword":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPasswordConfirm":"bed6dc77-ef77-4191-91b6-43ea2dd7d153"}, requestBody.newPassword)
17:00:42.401 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:cb3f3a76
17:00:42.412 [XNIO-1 task-2]  RFqrQf_eRJmllHHx8Y7JPg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.413 [XNIO-1 task-2]  RFqrQf_eRJmllHHx8Y7JPg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.414 [XNIO-1 task-2]  RFqrQf_eRJmllHHx8Y7JPg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.415 [XNIO-1 task-2]  RFqrQf_eRJmllHHx8Y7JPg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:42.422 [XNIO-1 task-2]  MU15OLUZQjid2FWnVlVcJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/5ef8c432
17:00:42.423 [XNIO-1 task-2]  MU15OLUZQjid2FWnVlVcJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.423 [XNIO-1 task-2]  MU15OLUZQjid2FWnVlVcJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:42.423 [XNIO-1 task-2]  MU15OLUZQjid2FWnVlVcJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/5ef8c432
17:00:42.434 [XNIO-1 task-2]  iBzgXNO8RrKE8zNp1mrGFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/cb3f3a76, base path is set to: null
17:00:42.435 [XNIO-1 task-2]  iBzgXNO8RrKE8zNp1mrGFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.435 [XNIO-1 task-2]  iBzgXNO8RrKE8zNp1mrGFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:42.435 [XNIO-1 task-2]  iBzgXNO8RrKE8zNp1mrGFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/cb3f3a76, base path is set to: null
17:00:42.435 [XNIO-1 task-2]  iBzgXNO8RrKE8zNp1mrGFQ DEBUG com.networknt.schema.TypeValidator debug - validate( "cb3f3a76", "cb3f3a76", userId)
17:00:42.439 [XNIO-1 task-2]  YnuJa9eFTEGI547atCczgw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.439 [XNIO-1 task-2]  YnuJa9eFTEGI547atCczgw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.440 [XNIO-1 task-2]  YnuJa9eFTEGI547atCczgw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.440 [XNIO-1 task-2]  YnuJa9eFTEGI547atCczgw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:42.448 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/cb3f3a76
17:00:42.448 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.448 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:42.448 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:42.449 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/cb3f3a76
17:00:42.450 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPassword":"101c9243-6efc-4419-bc65-62da2eb2b2cd","newPasswordConfirm":"101c9243-6efc-4419-bc65-62da2eb2b2cd"}, {"password":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPassword":"101c9243-6efc-4419-bc65-62da2eb2b2cd","newPasswordConfirm":"101c9243-6efc-4419-bc65-62da2eb2b2cd"}, requestBody)
17:00:42.450 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPassword":"101c9243-6efc-4419-bc65-62da2eb2b2cd","newPasswordConfirm":"101c9243-6efc-4419-bc65-62da2eb2b2cd"}, {"password":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPassword":"101c9243-6efc-4419-bc65-62da2eb2b2cd","newPasswordConfirm":"101c9243-6efc-4419-bc65-62da2eb2b2cd"}, requestBody)
17:00:42.450 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG com.networknt.schema.FormatValidator debug - validate( "101c9243-6efc-4419-bc65-62da2eb2b2cd", {"password":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPassword":"101c9243-6efc-4419-bc65-62da2eb2b2cd","newPasswordConfirm":"101c9243-6efc-4419-bc65-62da2eb2b2cd"}, requestBody.newPasswordConfirm)
17:00:42.450 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG com.networknt.schema.FormatValidator debug - validate( "bed6dc77-ef77-4191-91b6-43ea2dd7d153", {"password":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPassword":"101c9243-6efc-4419-bc65-62da2eb2b2cd","newPasswordConfirm":"101c9243-6efc-4419-bc65-62da2eb2b2cd"}, requestBody.password)
17:00:42.450 [XNIO-1 task-2]  ETJ7Bek2QIuOOtiRMkDA7w DEBUG com.networknt.schema.FormatValidator debug - validate( "101c9243-6efc-4419-bc65-62da2eb2b2cd", {"password":"bed6dc77-ef77-4191-91b6-43ea2dd7d153","newPassword":"101c9243-6efc-4419-bc65-62da2eb2b2cd","newPasswordConfirm":"101c9243-6efc-4419-bc65-62da2eb2b2cd"}, requestBody.newPassword)
17:00:42.462 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:cb3f3a76
17:00:42.477 [XNIO-1 task-2]  mQUWNFcXTgiHmnWGpAntsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/cb3f3a76
17:00:42.477 [XNIO-1 task-2]  mQUWNFcXTgiHmnWGpAntsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.477 [XNIO-1 task-2]  mQUWNFcXTgiHmnWGpAntsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:42.478 [XNIO-1 task-2]  mQUWNFcXTgiHmnWGpAntsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/cb3f3a76
17:00:42.486 [XNIO-1 task-2]  5REwzBQfTPKJatXtz3wC0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.486 [XNIO-1 task-2]  5REwzBQfTPKJatXtz3wC0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.486 [XNIO-1 task-2]  5REwzBQfTPKJatXtz3wC0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.487 [XNIO-1 task-2]  5REwzBQfTPKJatXtz3wC0Q DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:42.504 [XNIO-1 task-2]  MRhbVohORJmOhVSgZcyWHg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.504 [XNIO-1 task-2]  MRhbVohORJmOhVSgZcyWHg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.504 [XNIO-1 task-2]  MRhbVohORJmOhVSgZcyWHg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.505 [XNIO-1 task-2]  MRhbVohORJmOhVSgZcyWHg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:42.513 [XNIO-1 task-2]  YoF5tTdBTSuaNO7wqYcd4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.513 [XNIO-1 task-2]  YoF5tTdBTSuaNO7wqYcd4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.513 [XNIO-1 task-2]  YoF5tTdBTSuaNO7wqYcd4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.514 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:cb3f3a76
17:00:42.526 [XNIO-1 task-2]  _9lNC0sSS1GY-LSjI-Pt9A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/cb3f3a76, base path is set to: null
17:00:42.526 [XNIO-1 task-2]  _9lNC0sSS1GY-LSjI-Pt9A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.526 [XNIO-1 task-2]  _9lNC0sSS1GY-LSjI-Pt9A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:42.527 [XNIO-1 task-2]  _9lNC0sSS1GY-LSjI-Pt9A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/cb3f3a76, base path is set to: null
17:00:42.527 [XNIO-1 task-2]  _9lNC0sSS1GY-LSjI-Pt9A DEBUG com.networknt.schema.TypeValidator debug - validate( "cb3f3a76", "cb3f3a76", userId)
17:00:42.540 [XNIO-1 task-2]  7n5I3VwBTZWB1fLSc1_awQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.541 [XNIO-1 task-2]  7n5I3VwBTZWB1fLSc1_awQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.541 [XNIO-1 task-2]  7n5I3VwBTZWB1fLSc1_awQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.542 [XNIO-1 task-2]  7n5I3VwBTZWB1fLSc1_awQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:42.560 [XNIO-1 task-2]  SKAx1eCBRzmO5By5YUPR9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.560 [XNIO-1 task-2]  SKAx1eCBRzmO5By5YUPR9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.561 [XNIO-1 task-2]  SKAx1eCBRzmO5By5YUPR9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.561 [XNIO-1 task-2]  SKAx1eCBRzmO5By5YUPR9Q DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:42.612 [XNIO-1 task-2]  mM7PITJCSH6aqv82Nkv2Ow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.612 [XNIO-1 task-2]  mM7PITJCSH6aqv82Nkv2Ow DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.612 [XNIO-1 task-2]  mM7PITJCSH6aqv82Nkv2Ow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.613 [XNIO-1 task-2]  mM7PITJCSH6aqv82Nkv2Ow DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:42.623 [XNIO-1 task-2]  PLW_04KaSgemyQu8S-WGYg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.623 [XNIO-1 task-2]  PLW_04KaSgemyQu8S-WGYg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.623 [XNIO-1 task-2]  PLW_04KaSgemyQu8S-WGYg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.624 [XNIO-1 task-2]  PLW_04KaSgemyQu8S-WGYg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:42.630 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:3c7af9d0-423b-4867-a0bf-70f300d10809
17:00:42.632 [XNIO-1 task-2]  G48HboxTQiCSDkPW6W6N0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.632 [XNIO-1 task-2]  G48HboxTQiCSDkPW6W6N0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.632 [XNIO-1 task-2]  G48HboxTQiCSDkPW6W6N0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.651 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:3c7af9d0-423b-4867-a0bf-70f300d10809
17:00:42.653 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/c5ede304
17:00:42.653 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.653 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:42.653 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:42.655 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/c5ede304
17:00:42.656 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"5bb5a900-18dd-429d-b495-c3daf01f2806","newPassword":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPasswordConfirm":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b"}, {"password":"5bb5a900-18dd-429d-b495-c3daf01f2806","newPassword":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPasswordConfirm":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b"}, requestBody)
17:00:42.656 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"5bb5a900-18dd-429d-b495-c3daf01f2806","newPassword":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPasswordConfirm":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b"}, {"password":"5bb5a900-18dd-429d-b495-c3daf01f2806","newPassword":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPasswordConfirm":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b"}, requestBody)
17:00:42.656 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG com.networknt.schema.FormatValidator debug - validate( "2e3a9524-d13b-4524-960c-f0cf2bf7e33b", {"password":"5bb5a900-18dd-429d-b495-c3daf01f2806","newPassword":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPasswordConfirm":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b"}, requestBody.newPasswordConfirm)
17:00:42.656 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG com.networknt.schema.FormatValidator debug - validate( "5bb5a900-18dd-429d-b495-c3daf01f2806", {"password":"5bb5a900-18dd-429d-b495-c3daf01f2806","newPassword":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPasswordConfirm":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b"}, requestBody.password)
17:00:42.656 [XNIO-1 task-2]  E3UZrWdxRcyJz4bN6Q3tIA DEBUG com.networknt.schema.FormatValidator debug - validate( "2e3a9524-d13b-4524-960c-f0cf2bf7e33b", {"password":"5bb5a900-18dd-429d-b495-c3daf01f2806","newPassword":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPasswordConfirm":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b"}, requestBody.newPassword)
17:00:42.682 [XNIO-1 task-2]  70U5crqoT_igqDd0i2Bolw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.682 [XNIO-1 task-2]  70U5crqoT_igqDd0i2Bolw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.682 [XNIO-1 task-2]  70U5crqoT_igqDd0i2Bolw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.705 [XNIO-1 task-2]  k0ev9OHVReK0C2Q47nOQ7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.705 [XNIO-1 task-2]  k0ev9OHVReK0C2Q47nOQ7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.706 [XNIO-1 task-2]  k0ev9OHVReK0C2Q47nOQ7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.706 [XNIO-1 task-2]  k0ev9OHVReK0C2Q47nOQ7Q DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:42.726 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/c5ede304
17:00:42.726 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.727 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:42.727 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:42.727 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/c5ede304
17:00:42.729 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPassword":"d99f197c-c3db-472c-9368-fbfc7dea7761","newPasswordConfirm":"d99f197c-c3db-472c-9368-fbfc7dea7761"}, {"password":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPassword":"d99f197c-c3db-472c-9368-fbfc7dea7761","newPasswordConfirm":"d99f197c-c3db-472c-9368-fbfc7dea7761"}, requestBody)
17:00:42.729 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPassword":"d99f197c-c3db-472c-9368-fbfc7dea7761","newPasswordConfirm":"d99f197c-c3db-472c-9368-fbfc7dea7761"}, {"password":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPassword":"d99f197c-c3db-472c-9368-fbfc7dea7761","newPasswordConfirm":"d99f197c-c3db-472c-9368-fbfc7dea7761"}, requestBody)
17:00:42.729 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG com.networknt.schema.FormatValidator debug - validate( "d99f197c-c3db-472c-9368-fbfc7dea7761", {"password":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPassword":"d99f197c-c3db-472c-9368-fbfc7dea7761","newPasswordConfirm":"d99f197c-c3db-472c-9368-fbfc7dea7761"}, requestBody.newPasswordConfirm)
17:00:42.729 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG com.networknt.schema.FormatValidator debug - validate( "2e3a9524-d13b-4524-960c-f0cf2bf7e33b", {"password":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPassword":"d99f197c-c3db-472c-9368-fbfc7dea7761","newPasswordConfirm":"d99f197c-c3db-472c-9368-fbfc7dea7761"}, requestBody.password)
17:00:42.729 [XNIO-1 task-2]  W6YbR3GkRnSDkcOwguHWIQ DEBUG com.networknt.schema.FormatValidator debug - validate( "d99f197c-c3db-472c-9368-fbfc7dea7761", {"password":"2e3a9524-d13b-4524-960c-f0cf2bf7e33b","newPassword":"d99f197c-c3db-472c-9368-fbfc7dea7761","newPasswordConfirm":"d99f197c-c3db-472c-9368-fbfc7dea7761"}, requestBody.newPassword)
17:00:42.753 [XNIO-1 task-2]  st2JBwW5RTSqlT6Y8mRdJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/c5ede304
17:00:42.753 [XNIO-1 task-2]  st2JBwW5RTSqlT6Y8mRdJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:42.753 [XNIO-1 task-2]  st2JBwW5RTSqlT6Y8mRdJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:42.754 [XNIO-1 task-2]  st2JBwW5RTSqlT6Y8mRdJw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/c5ede304
17:00:42.771 [XNIO-1 task-2]  tkX3nIHMRMOBPHY4oZCRqA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:42.772 [XNIO-1 task-2]  tkX3nIHMRMOBPHY4oZCRqA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:42.772 [XNIO-1 task-2]  tkX3nIHMRMOBPHY4oZCRqA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
