09:02:57.861 [XNIO-1 task-1]  mqU8l2_HRRyR5Jin7mg9uQ DEBUG com.networknt.schema.TypeValidator debug - validate( "920f67ac-061d-4f4f-91a4-e92bcfcb4ccc", {"password":"a54c83b5-79b9-4b55-8de6-bb90a71761ea","newPassword":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc","newPasswordConfirm":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc"}, requestBody.newPassword)
09:02:58.631 [XNIO-1 task-1]  4c5mzzvZRKODY_Zb4Iy2vw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/72131b38
09:02:58.632 [XNIO-1 task-1]  4c5mzzvZRKODY_Zb4Iy2vw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.632 [XNIO-1 task-1]  4c5mzzvZRKODY_Zb4Iy2vw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.632 [XNIO-1 task-1]  4c5mzzvZRKODY_Zb4Iy2vw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/72131b38
09:02:58.641 [XNIO-1 task-1]  fTqDhkkzSbOy-5P8-wur6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/62be7a1c, base path is set to: null
09:02:58.641 [XNIO-1 task-1]  fTqDhkkzSbOy-5P8-wur6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.641 [XNIO-1 task-1]  fTqDhkkzSbOy-5P8-wur6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.642 [XNIO-1 task-1]  fTqDhkkzSbOy-5P8-wur6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/62be7a1c, base path is set to: null
09:02:58.642 [XNIO-1 task-1]  fTqDhkkzSbOy-5P8-wur6w DEBUG com.networknt.schema.TypeValidator debug - validate( "62be7a1c", "62be7a1c", userId)
09:02:58.648 [XNIO-1 task-1]  FDq2lB4QRb6c_uw0tPfopA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.648 [XNIO-1 task-1]  FDq2lB4QRb6c_uw0tPfopA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.648 [XNIO-1 task-1]  FDq2lB4QRb6c_uw0tPfopA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.648 [XNIO-1 task-1]  FDq2lB4QRb6c_uw0tPfopA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:58.655 [XNIO-1 task-1]  tASOqYQ-T9O8_vIJ8cRApg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.655 [XNIO-1 task-1]  tASOqYQ-T9O8_vIJ8cRApg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.655 [XNIO-1 task-1]  tASOqYQ-T9O8_vIJ8cRApg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.655 [XNIO-1 task-1]  tASOqYQ-T9O8_vIJ8cRApg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:58.659 [XNIO-1 task-1]  bbuNCK6oTLG7QYMg1iGO1Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.659 [XNIO-1 task-1]  bbuNCK6oTLG7QYMg1iGO1Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.659 [XNIO-1 task-1]  bbuNCK6oTLG7QYMg1iGO1Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.659 [XNIO-1 task-1]  bbuNCK6oTLG7QYMg1iGO1Q DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:58.663 [XNIO-1 task-1]  aXV7OBNYR2ebmFZkG79e7g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.663 [XNIO-1 task-1]  aXV7OBNYR2ebmFZkG79e7g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.663 [XNIO-1 task-1]  aXV7OBNYR2ebmFZkG79e7g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.677 [XNIO-1 task-1]  nV8TwWjHSKiNeJ77UTtLMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.677 [XNIO-1 task-1]  nV8TwWjHSKiNeJ77UTtLMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.677 [XNIO-1 task-1]  nV8TwWjHSKiNeJ77UTtLMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.677 [XNIO-1 task-1]  nV8TwWjHSKiNeJ77UTtLMg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:58.680 [XNIO-1 task-1]  bArUEvquT8mSdWAVz3PpMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.680 [XNIO-1 task-1]  bArUEvquT8mSdWAVz3PpMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.680 [XNIO-1 task-1]  bArUEvquT8mSdWAVz3PpMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.716 [XNIO-1 task-1]  6-At_WvORXGbKevzM2hEhA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.716 [XNIO-1 task-1]  6-At_WvORXGbKevzM2hEhA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.716 [XNIO-1 task-1]  6-At_WvORXGbKevzM2hEhA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.728 [XNIO-1 task-1]  ZJZzQW7BT1SC2l1H5uYQLg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.728 [XNIO-1 task-1]  ZJZzQW7BT1SC2l1H5uYQLg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.728 [XNIO-1 task-1]  ZJZzQW7BT1SC2l1H5uYQLg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.735 [XNIO-1 task-1]  6E_05C1QQ7W6qXeHbH3FoA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.735 [XNIO-1 task-1]  6E_05C1QQ7W6qXeHbH3FoA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.735 [XNIO-1 task-1]  6E_05C1QQ7W6qXeHbH3FoA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.746 [XNIO-1 task-1]  jHxTn2lwQKCXJpxce-YV9A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.746 [XNIO-1 task-1]  jHxTn2lwQKCXJpxce-YV9A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.746 [XNIO-1 task-1]  jHxTn2lwQKCXJpxce-YV9A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.747 [XNIO-1 task-1]  jHxTn2lwQKCXJpxce-YV9A DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:58.749 [XNIO-1 task-1]  Nt_mg9qsTQqcsq_KshJOuw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/7ff3e1b7
09:02:58.749 [XNIO-1 task-1]  Nt_mg9qsTQqcsq_KshJOuw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.749 [XNIO-1 task-1]  Nt_mg9qsTQqcsq_KshJOuw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.749 [XNIO-1 task-1]  Nt_mg9qsTQqcsq_KshJOuw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/7ff3e1b7
09:02:58.757 [XNIO-1 task-1]  XIb6_-1KQDWXDhBroHCNZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/7ff3e1b7, base path is set to: null
09:02:58.758 [XNIO-1 task-1]  XIb6_-1KQDWXDhBroHCNZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.758 [XNIO-1 task-1]  XIb6_-1KQDWXDhBroHCNZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.758 [XNIO-1 task-1]  XIb6_-1KQDWXDhBroHCNZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/7ff3e1b7, base path is set to: null
09:02:58.758 [XNIO-1 task-1]  XIb6_-1KQDWXDhBroHCNZQ DEBUG com.networknt.schema.TypeValidator debug - validate( "7ff3e1b7", "7ff3e1b7", userId)
09:02:58.786 [XNIO-1 task-1]  y6qAdKxeTJqKqwsvyPr4eg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.786 [XNIO-1 task-1]  y6qAdKxeTJqKqwsvyPr4eg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.786 [XNIO-1 task-1]  y6qAdKxeTJqKqwsvyPr4eg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/7ff3e1b7
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/7ff3e1b7
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"c7525999-2e8e-4679-8c76-9b433001a075","newPassword":"268400bb-b969-4c22-8222-3c3b4efcde69","newPasswordConfirm":"268400bb-b969-4c22-8222-3c3b4efcde69"}, {"password":"c7525999-2e8e-4679-8c76-9b433001a075","newPassword":"268400bb-b969-4c22-8222-3c3b4efcde69","newPasswordConfirm":"268400bb-b969-4c22-8222-3c3b4efcde69"}, requestBody)
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"c7525999-2e8e-4679-8c76-9b433001a075","newPassword":"268400bb-b969-4c22-8222-3c3b4efcde69","newPasswordConfirm":"268400bb-b969-4c22-8222-3c3b4efcde69"}, {"password":"c7525999-2e8e-4679-8c76-9b433001a075","newPassword":"268400bb-b969-4c22-8222-3c3b4efcde69","newPasswordConfirm":"268400bb-b969-4c22-8222-3c3b4efcde69"}, requestBody)
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG com.networknt.schema.FormatValidator debug - validate( "268400bb-b969-4c22-8222-3c3b4efcde69", {"password":"c7525999-2e8e-4679-8c76-9b433001a075","newPassword":"268400bb-b969-4c22-8222-3c3b4efcde69","newPasswordConfirm":"268400bb-b969-4c22-8222-3c3b4efcde69"}, requestBody.newPasswordConfirm)
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG com.networknt.schema.FormatValidator debug - validate( "c7525999-2e8e-4679-8c76-9b433001a075", {"password":"c7525999-2e8e-4679-8c76-9b433001a075","newPassword":"268400bb-b969-4c22-8222-3c3b4efcde69","newPasswordConfirm":"268400bb-b969-4c22-8222-3c3b4efcde69"}, requestBody.password)
09:02:58.807 [XNIO-1 task-1]  tppdzUk-RVG5fit8c-yPtA DEBUG com.networknt.schema.FormatValidator debug - validate( "268400bb-b969-4c22-8222-3c3b4efcde69", {"password":"c7525999-2e8e-4679-8c76-9b433001a075","newPassword":"268400bb-b969-4c22-8222-3c3b4efcde69","newPasswordConfirm":"268400bb-b969-4c22-8222-3c3b4efcde69"}, requestBody.newPassword)
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/14373940
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/14373940
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"94dbe47c-8301-4de6-a86a-7b952163cf8d","newPassword":"f5935d83-d58b-4dbe-8f79-412cb329d69e","newPasswordConfirm":"f5935d83-d58b-4dbe-8f79-412cb329d69e"}, {"password":"94dbe47c-8301-4de6-a86a-7b952163cf8d","newPassword":"f5935d83-d58b-4dbe-8f79-412cb329d69e","newPasswordConfirm":"f5935d83-d58b-4dbe-8f79-412cb329d69e"}, requestBody)
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"94dbe47c-8301-4de6-a86a-7b952163cf8d","newPassword":"f5935d83-d58b-4dbe-8f79-412cb329d69e","newPasswordConfirm":"f5935d83-d58b-4dbe-8f79-412cb329d69e"}, {"password":"94dbe47c-8301-4de6-a86a-7b952163cf8d","newPassword":"f5935d83-d58b-4dbe-8f79-412cb329d69e","newPasswordConfirm":"f5935d83-d58b-4dbe-8f79-412cb329d69e"}, requestBody)
09:02:58.838 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG com.networknt.schema.FormatValidator debug - validate( "f5935d83-d58b-4dbe-8f79-412cb329d69e", {"password":"94dbe47c-8301-4de6-a86a-7b952163cf8d","newPassword":"f5935d83-d58b-4dbe-8f79-412cb329d69e","newPasswordConfirm":"f5935d83-d58b-4dbe-8f79-412cb329d69e"}, requestBody.newPasswordConfirm)
09:02:58.839 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG com.networknt.schema.FormatValidator debug - validate( "94dbe47c-8301-4de6-a86a-7b952163cf8d", {"password":"94dbe47c-8301-4de6-a86a-7b952163cf8d","newPassword":"f5935d83-d58b-4dbe-8f79-412cb329d69e","newPasswordConfirm":"f5935d83-d58b-4dbe-8f79-412cb329d69e"}, requestBody.password)
09:02:58.839 [XNIO-1 task-1]  _lX-z7BVR5aL8bC60pp1-g DEBUG com.networknt.schema.FormatValidator debug - validate( "f5935d83-d58b-4dbe-8f79-412cb329d69e", {"password":"94dbe47c-8301-4de6-a86a-7b952163cf8d","newPassword":"f5935d83-d58b-4dbe-8f79-412cb329d69e","newPasswordConfirm":"f5935d83-d58b-4dbe-8f79-412cb329d69e"}, requestBody.newPassword)
09:02:58.863 [XNIO-1 task-1]  mZeb95HNQxafGLvCpgk6qA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.863 [XNIO-1 task-1]  mZeb95HNQxafGLvCpgk6qA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.863 [XNIO-1 task-1]  mZeb95HNQxafGLvCpgk6qA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.938 [XNIO-1 task-1]  OX646-hCRN6Uv5moyjdA4A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.938 [XNIO-1 task-1]  OX646-hCRN6Uv5moyjdA4A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.938 [XNIO-1 task-1]  OX646-hCRN6Uv5moyjdA4A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.938 [XNIO-1 task-1]  OX646-hCRN6Uv5moyjdA4A DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
09:02:58.949 [XNIO-1 task-1]  wHjOyiXcTIqoqSl96U_Igg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/555c66d6, base path is set to: null
09:02:58.949 [XNIO-1 task-1]  wHjOyiXcTIqoqSl96U_Igg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.949 [XNIO-1 task-1]  wHjOyiXcTIqoqSl96U_Igg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.949 [XNIO-1 task-1]  wHjOyiXcTIqoqSl96U_Igg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/555c66d6, base path is set to: null
09:02:58.950 [XNIO-1 task-1]  wHjOyiXcTIqoqSl96U_Igg DEBUG com.networknt.schema.TypeValidator debug - validate( "555c66d6", "555c66d6", userId)
09:02:58.955 [XNIO-1 task-1]  vrAWzrEsTzepOSelfxObOw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/14373940
09:02:58.955 [XNIO-1 task-1]  vrAWzrEsTzepOSelfxObOw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.955 [XNIO-1 task-1]  vrAWzrEsTzepOSelfxObOw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.955 [XNIO-1 task-1]  vrAWzrEsTzepOSelfxObOw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/14373940
09:02:58.962 [XNIO-1 task-1]  a0tJ-oCMQ-aEHYADt8iMyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.962 [XNIO-1 task-1]  a0tJ-oCMQ-aEHYADt8iMyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.962 [XNIO-1 task-1]  a0tJ-oCMQ-aEHYADt8iMyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.975 [XNIO-1 task-1]  WbDGSqXlSe2QbmbfEJI_cw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.975 [XNIO-1 task-1]  WbDGSqXlSe2QbmbfEJI_cw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.975 [XNIO-1 task-1]  WbDGSqXlSe2QbmbfEJI_cw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.982 [XNIO-1 task-1]  H2_9oTXpTuS4ZmBB-9-kgA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/512e8ad2, base path is set to: null
09:02:58.982 [XNIO-1 task-1]  H2_9oTXpTuS4ZmBB-9-kgA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.983 [XNIO-1 task-1]  H2_9oTXpTuS4ZmBB-9-kgA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.983 [XNIO-1 task-1]  H2_9oTXpTuS4ZmBB-9-kgA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/512e8ad2, base path is set to: null
09:02:58.983 [XNIO-1 task-1]  H2_9oTXpTuS4ZmBB-9-kgA DEBUG com.networknt.schema.TypeValidator debug - validate( "512e8ad2", "512e8ad2", userId)
09:02:58.986 [XNIO-1 task-1]  qvAhR1jmSzGnzhDhhdgbNA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/512e8ad2
09:02:58.986 [XNIO-1 task-1]  qvAhR1jmSzGnzhDhhdgbNA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.986 [XNIO-1 task-1]  qvAhR1jmSzGnzhDhhdgbNA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.986 [XNIO-1 task-1]  qvAhR1jmSzGnzhDhhdgbNA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/512e8ad2
09:02:58.988 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:fe9ab2b5
09:02:58.988 [XNIO-1 task-1]  x8NYKvWISt6Q7xHa35Pw8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.988 [XNIO-1 task-1]  x8NYKvWISt6Q7xHa35Pw8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.988 [XNIO-1 task-1]  x8NYKvWISt6Q7xHa35Pw8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.988 [XNIO-1 task-1]  x8NYKvWISt6Q7xHa35Pw8w DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:58.989 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:fe9ab2b5
09:02:58.991 [XNIO-1 task-1]  4sJ1of2wR-a9VRGPm0pplw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.991 [XNIO-1 task-1]  4sJ1of2wR-a9VRGPm0pplw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.991 [XNIO-1 task-1]  4sJ1of2wR-a9VRGPm0pplw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.000 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:fe9ab2b5
09:02:59.008 [XNIO-1 task-1]  Tc9rbTqQQ92nPQRC0FsO0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.008 [XNIO-1 task-1]  Tc9rbTqQQ92nPQRC0FsO0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.008 [XNIO-1 task-1]  Tc9rbTqQQ92nPQRC0FsO0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.020 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/62359927
09:02:59.020 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.020 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:59.020 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:02:59.020 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/62359927
09:02:59.021 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"8c06b055-78d7-4a72-8394-18b82d2152d7","newPassword":"00584bb4-da38-43a1-906d-9c95c35966bc","newPasswordConfirm":"00584bb4-da38-43a1-906d-9c95c35966bc"}, {"password":"8c06b055-78d7-4a72-8394-18b82d2152d7","newPassword":"00584bb4-da38-43a1-906d-9c95c35966bc","newPasswordConfirm":"00584bb4-da38-43a1-906d-9c95c35966bc"}, requestBody)
09:02:59.021 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"8c06b055-78d7-4a72-8394-18b82d2152d7","newPassword":"00584bb4-da38-43a1-906d-9c95c35966bc","newPasswordConfirm":"00584bb4-da38-43a1-906d-9c95c35966bc"}, {"password":"8c06b055-78d7-4a72-8394-18b82d2152d7","newPassword":"00584bb4-da38-43a1-906d-9c95c35966bc","newPasswordConfirm":"00584bb4-da38-43a1-906d-9c95c35966bc"}, requestBody)
09:02:59.021 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG com.networknt.schema.FormatValidator debug - validate( "00584bb4-da38-43a1-906d-9c95c35966bc", {"password":"8c06b055-78d7-4a72-8394-18b82d2152d7","newPassword":"00584bb4-da38-43a1-906d-9c95c35966bc","newPasswordConfirm":"00584bb4-da38-43a1-906d-9c95c35966bc"}, requestBody.newPasswordConfirm)
09:02:59.021 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG com.networknt.schema.FormatValidator debug - validate( "8c06b055-78d7-4a72-8394-18b82d2152d7", {"password":"8c06b055-78d7-4a72-8394-18b82d2152d7","newPassword":"00584bb4-da38-43a1-906d-9c95c35966bc","newPasswordConfirm":"00584bb4-da38-43a1-906d-9c95c35966bc"}, requestBody.password)
09:02:59.021 [XNIO-1 task-1]  8sUS0A2UQQKnJ-RevIT42A DEBUG com.networknt.schema.FormatValidator debug - validate( "00584bb4-da38-43a1-906d-9c95c35966bc", {"password":"8c06b055-78d7-4a72-8394-18b82d2152d7","newPassword":"00584bb4-da38-43a1-906d-9c95c35966bc","newPasswordConfirm":"00584bb4-da38-43a1-906d-9c95c35966bc"}, requestBody.newPassword)
09:02:59.040 [XNIO-1 task-1]  oc8eRMKHSAid9_vD-FMFDg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/62359927
09:02:59.040 [XNIO-1 task-1]  oc8eRMKHSAid9_vD-FMFDg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.040 [XNIO-1 task-1]  oc8eRMKHSAid9_vD-FMFDg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:59.040 [XNIO-1 task-1]  oc8eRMKHSAid9_vD-FMFDg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/62359927
09:02:59.043 [XNIO-1 task-1]  Jr0MawjlRuu83sqJWLYvKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/7ff3e1b7, base path is set to: null
09:02:59.044 [XNIO-1 task-1]  Jr0MawjlRuu83sqJWLYvKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:59.044 [XNIO-1 task-1]  Jr0MawjlRuu83sqJWLYvKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
